iter	Passed	Remaining
752	37061	36765
753	37111	36718
754	37161	36669
755	37209	36619
756	37258	36569
757	37307	36520
758	37357	36471
759	37409	36424
760	37460	36377
761	37496	36315
762	37551	36271
763	37602	36224
764	37653	36177
765	37703	36128
766	37756	36082
767	37807	36035
768	37858	35988
769	37911	35941
770	37966	35898
771	38021	35854
772	38077	35811
773	38133	35769
774	38185	35722
775	38240	35677
776	38292	35630
777	38345	35585
778	38401	35542
779	38451	35493
780	38503	35447
781	38559	35403
782	38611	35356
783	38660	35307
784	38711	35259
785	38762	35211
786	38810	35161
787	38865	35116
788	38914	35067
789	38963	35018
790	39017	34972
791	39071	34927
792	39120	34878
793	39171	34829
794	39220	34780
795	39272	34733
796	39328	34689
797	39377	34640
798	39425	34590
799	39477	34542
800	39528	34495
801	39582	34449
802	39631	34400
803	39679	34349
804	39726	34298
805	39785	34256
806	39836	34209
807	39885	34159
808	39936	34111
809	39987	34063
810	40038	34015
811	40091	33968
812	40141	33920
813	40193	33873
814	40245	33825
815	40296	33777
816	40346	33729
817	40396	33680
818	40444	33629
819	40498	33583
820	40552	33538
821	40608	33494
822	40658	33445
823	40708	33396
824	40757	33347
825	40811	33301
826	40864	33255
827	40915	33206
828	40963	33156
829	41014	33108
830	41065	33060
831	41117	33012
832	41167	32963
833	41216	32914
834	41266	32864
835	41317	32816
836	41366	32766
837	41417	32718
838	41466	32669
839	41518	32621
840	41571	32575
841	41622	32527
842	41671	32477
843	41723	32429
844	41772	32380
845	41825	32333
846	41877	32285
847	41928	32237
848	41981	32190
849	42031	32141
850	42083	32094
851	42136	32047
852	42185	31997
853	42241	31953
854	42291	31904
855	42344	31856
856	42393	31807
857	42442	31757
858	42494	31710
859	42546	31662
860	42599	31615
861	42650	31567
862	42701	31518
863	42751	31469
864	42801	31420
865	42855	31374
866	42904	31324
867	42953	31275
868	42986	31213
869	43035	31163
870	43088	31116
871	43138	31067
872	43190	31019
873	43237	30968
874	43275	30910
875	43325	30861
876	43379	30815
877	43414	30755
878	43462	30705
879	43515	30658
880	43565	30609
881	43616	30561
882	43666	30511
883	43715	30462
884	43765	30413
885	43816	30364
886	43864	30314
887	43914	30265
888	43961	30214
889	44011	30165
890	44059	30114
891	44112	30067
892	44161	30018
893	44213	29969
894	44261	29919
895	44314	29872
896	44366	29825
897	44418	29777
898	44466	29727
899	44520	29680
900	44571	29631
901	44622	29583
902	44672	29534
903	44703	29472
904	44754	29424
905	44806	29376
906	44861	29330
907	44912	29281
908	44961	29232
909	45010	29182
910	45061	29134
911	45115	29087
912	45165	29038
913	45215	28989
914	45265	28940
915	45296	28879
916	45345	28829
917	45394	28779
918	45441	28728
919	45492	28680
920	45546	28633
921	45598	28585
922	45651	28538
923	45702	28490
924	45756	28443
925	45810	28396
926	45865	28350
927	45917	28302
928	45969	28254
929	46024	28208
930	46078	28162
931	46136	28117
932	46193	28072
933	46245	28024
934	46300	27978
935	46349	27928
936	46398	27878
937	46429	27818
938	46477	27767
939	46529	27719
940	46583	27673
941	46639	27627
942	46693	27580
943	46742	27530
944	46791	27480
945	46845	27433
946	46895	27384
947	46944	27334
948	46996	27286
949	47047	27237
950	47097	27188
951	47152	27142
952	47204	27094
953	47253	27044
954	47303	26995
955	47353	26945
956	47405	26897
957	47454	26848
958	47505	26799
959	47557	26750
960	47609	26703
961	47661	26654
962	47711	26605
963	47747	26548
964	47798	26499
965	47850	26451
966	47899	26401
967	47936	26345
968	47989	26297
969	48039	26248
970	48089	26199
971	48143	26151
972	48195	26103
973	48246	26054
974	48282	25998
975	48333	25949
976	48383	25900
977	48434	25851
978	48484	25802
979	48532	25751
980	48585	25704
981	48637	25655
982	48689	25607
983	48740	25559
984	48794	25512
985	48844	25462
986	48894	25413
987	48944	25363
988	48993	25314
989	49041	25263
990	49092	25215
991	49145	25167
992	49189	25114
993	49237	25064
994	49288	25015
995	49338	24966
996	49389	24917
997	49438	24867
998	49492	24820
999	49543	24771
1000	49601	24726
1001	49654	24678
1002	49708	24630
1003	49745	24575
1004	49794	24525
1005	49852	24480
1006	49903	24431
1007	49953	24381
1008	50003	24332
1009	50053	24283
1010	50103	24233
1011	50155	24185
1012	50175	24122
1013	50225	24072
1014	50275	24023
1015	50327	23974
1016	50376	23925
1017	50425	23875
1018	50476	23826
1019	50526	23777
1020	50579	23729
1021	50629	23679
1022	50682	23632
1023	50733	23583
1024	50782	23533
1025	50839	23487
1026	50892	23439
1027	50942	23389
1028	50992	23340
1029	51019	23280
1030	51069	23231
1031	51087	23167
1032	51124	23112
1033	51176	23064
1034	51228	23015
1035	51279	22967
1036	51332	22918
1037	51382	22869
1038	51431	22820
1039	51482	22770
1040	51534	22722
1041	51586	22674
1042	51640	22626
1043	51691	22578
1044	51743	22529
1045	51791	22479
1046	51841	22430
1047	51888	22379
1048	51939	22330
1049	51988	22280
1050	52018	22222
1051	52067	22173
1052	52117	22124
1053	52169	22075
1054	52217	22025
1055	52261	21973
1056	52278	21910
1057	52314	21855
1058	52332	21792
1059	52354	21731
1060	52389	21676
1061	52436	21626
1062	52490	21578
1063	52540	21529
1064	52592	21481
1065	52644	21433
1066	52697	21385
1067	52747	21335
1068	52798	21287
1069	52849	21238
1070	52897	21188
1071	52948	21139
1072	52997	21090
1073	53048	21041
1074	53086	20987
1075	53122	20933
1076	53175	20885
1077	53227	20836
1078	53278	20787
1079	53327	20738
1080	53377	20689
1081	53428	20640
1082	53477	20590
1083	53527	20542
1084	53581	20494
1085	53634	20446
1086	53690	20399
1087	53749	20353
1088	53801	20305
1089	53858	20258
1090	53914	20211
1091	53966	20163
1092	54023	20116
1093	54077	20068
1094	54132	20021
1095	54188	19974
1096	54244	19927
1097	54292	19877
1098	54330	19824
1099	54380	19774
1100	54430	19725
1101	54466	19671
1102	54515	19621
1103	54568	19573
1104	54618	19524
1105	54672	19476
1106	54710	19423
1107	54764	19375
1108	54812	19325
1109	54864	19276
1110	54911	19226
1111	54960	19176
1112	55011	19128
1113	55061	19078
1114	55111	19029
1115	55164	18981
1116	55216	18932
1117	55267	18883
1118	55316	18834
1119	55366	18785
1120	55413	18734
1121	55464	18685
1122	55514	18636
1123	55566	18588
1124	55617	18539
1125	55671	18491
1126	55715	18439
1127	55764	18390
1128	55813	18340
1129	55864	18291
1130	55913	18242
1131	55964	18193
1132	56015	18144
1133	56064	18094
1134	56112	18045
1135	56162	17995
1136	56214	17947
1137	56262	17897
1138	56311	17847
1139	56361	17798
1140	56411	17749
1141	56463	17700
1142	56515	17651
1143	56568	17603
1144	56620	17554
1145	56672	17506
1146	56726	17457
1147	56778	17409
1148	56820	17357
1149	56871	17308
1150	56923	17259
1151	56971	17210
1152	57023	17161
1153	57072	17111
1154	57125	17063
1155	57155	17008
1156	57207	16959
1157	57260	16911
1158	57313	16862
1159	57363	16813
1160	57413	16764
1161	57461	16714
1162	57510	16664
1163	57563	16616
1164	57614	16567
1165	57666	16518
1166	57717	16469
1167	57767	16420
1168	57821	16372
1169	57872	16323
1170	57925	16274
1171	57973	16224
1172	58022	16175
1173	58075	16126
1174	58124	16076
1175	58175	16027
1176	58227	15979
1177	58278	15930
1178	58328	15880
1179	58385	15833
1180	58434	15783
1181	58484	15734
1182	58535	15685
1183	58587	15636
1184	58636	15586
1185	58688	15538
1186	58740	15489
1187	58790	15439
1188	58839	15390
1189	58889	15340
1190	58937	15291
1191	58988	15242
1192	59037	15192
1193	59088	15143
1194	59135	15093
1195	59187	15044
1196	59239	14995
1197	59288	14945
1198	59338	14896
1199	59395	14848
1200	59444	14799
1201	59500	14751
1202	59550	14701
1203	59601	14652
1204	59653	14603
1205	59715	14557
1206	59767	14508
1207	59803	14455
1208	59858	14407
1209	59910	14358
1210	59961	14309
1211	60013	14260
1212	60062	14210
1213	60113	14161
1214	60165	14112
1215	60220	14064
1216	60272	14015
1217	60326	13967
1218	60377	13918
1219	60427	13868
1220	60478	13819
1221	60536	13771
1222	60587	13722
1223	60639	13673
1224	60698	13626
1225	60763	13580
1226	60829	13534
1227	60896	13488
1228	60946	13439
1229	61009	13392
1230	61071	13345
1231	61129	13297
1232	61183	13249
1233	61243	13201
1234	61300	13153
1235	61337	13101
1236	61387	13051
1237	61437	13002
1238	61474	12949
1239	61526	12900
1240	61579	12851
1241	61628	12802
1242	61683	12753
1243	61740	12705
1244	61796	12657
1245	61852	12608
1246	61904	12559
1247	61955	12510
1248	62007	12461
1249	62056	12411
1250	62108	12362
1251	62127	12306
1252	62178	12257
1253	62260	12213
1254	62319	12165
1255	62368	12116
1256	62418	12066
1257	62476	12018
1258	62528	11969
1259	62580	11920
1260	62631	11870
1261	62682	11821
1262	62738	11772
1263	62792	11723
1264	62843	11674
1265	62903	11626
1266	62957	11577
1267	63012	11529
1268	63075	11481
1269	63129	11432
1270	63182	11383
1271	63238	11335
1272	63295	11286
1273	63355	11238
1274	63408	11189
1275	63460	11140
1276	63511	11090
1277	63564	11041
1278	63614	10991
1279	63664	10942
1280	63720	10893
1281	63779	10845
1282	63830	10795
1283	63887	10747
1284	63939	10698
1285	63991	10648
1286	64044	10599
1287	64094	10549
1288	64145	10500
1289	64197	10450
1290	64252	10401
1291	64302	10352
1292	64352	10302
1293	64403	10252
1294	64455	10203
1295	64516	10155
1296	64574	10106
1297	64622	10056
1298	64675	10007
1299	64729	9958
1300	64782	9909
1301	64834	9859
1302	64886	9810
1303	64938	9760
1304	64988	9710
1305	65037	9661
1306	65088	9611
1307	65137	9561
